path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,north_anchor_date,south_anchor_date,north_anchor_lat,south_anchor_lat,north_anchor_lon,south_anchor_lon,lat_drop_deg
Europa_DER_A1A26_eobs_4004__2019__southbound_01,Europa / DER A1A26 (eobs 4004),2019,1,183,114,2019-08-02 00:00:00+00:00,2019-12-02 00:00:00+00:00,47.1668648,40.16209895,7.3905509,-3.56738285,7.004765849999998
Europa_DER_A1A26_eobs_4004__2020__southbound_01,Europa / DER A1A26 (eobs 4004),2020,1,184,70,2020-08-05 00:00:00+00:00,2020-10-13 00:00:00+00:00,47.1841832,37.7933722,7.4645947,-4.7483389,9.390811
Europa_DER_A1A26_eobs_4004__2021__southbound_01,Europa / DER A1A26 (eobs 4004),2021,1,214,107,2021-08-18 00:00:00+00:00,2021-12-02 00:00:00+00:00,47.17941505,40.13243435,7.406446349999999,-3.62372365,7.046980700000006
Europa_DER_A1A26_eobs_4004__2022__southbound_01,Europa / DER A1A26 (eobs 4004),2022,1,214,119,2022-07-27 00:00:00+00:00,2022-11-22 00:00:00+00:00,47.1788117,39.8411549,7.4125714,-4.2567494,7.337656799999998
Europa_DER_A1A26_eobs_4004__2023__southbound_01,Europa / DER A1A26 (eobs 4004),2023,1,164,98,2023-07-24 00:00:00+00:00,2023-12-18 00:00:00+00:00,47.1771678,40.1542867,7.40195145,-3.5698019,7.022881099999999
Fifi_plus_DER_AN909_eobs_3906__2014__southbound_01,Fifi + / DER AN909 (eobs 3906),2014,1,174,60,2014-08-15 00:00:00+00:00,2014-10-14 00:00:00+00:00,47.75926445,33.8526262,8.9178064,-6.0381799,13.90663825
Fifi_plus_DER_AN909_eobs_3906__2015__southbound_01,Fifi + / DER AN909 (eobs 3906),2015,1,179,98,2015-06-29 00:00:00+00:00,2015-10-04 00:00:00+00:00,47.7786621,37.0756787,7.16098325,-6.1107002,10.7029834
Hans_plus_DER_AN923_eobs_3922__2014__southbound_01,Hans + / DER AN923 (eobs 3922),2014,1,109,50,2014-08-14 00:00:00+00:00,2014-10-02 00:00:00+00:00,47.7525675,41.116904,8.9441646,-1.4068772,6.6356635
Julia_plus_DER_AU002_eobs_3924__2014__southbound_01,Julia + / DER AU002 (eobs 3924),2014,1,199,50,2014-08-16 00:00:00+00:00,2014-10-04 00:00:00+00:00,47.8428204,36.4422409,8.9190709,-6.10968,11.4005795
Karamell_plus_DER_AL582_eobs3031__2013__southbound_01,Karamell + / DER AL582 (eobs3031),2013,1,191,110,2013-08-09 00:00:00+00:00,2013-11-26 00:00:00+00:00,47.77185475,34.2700521,9.24088045,-6.552975,13.501802650000002
