individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Mirabell + / DER AN910 (eobs 3907),2018-12-09,15.987030029296875,20.059479,13.0416565,2.434689521789551,31.411640167236328,1023.8072509765625,1027.234130859375,0.0,0.07584381103515625,112.19695281982422,8,10.333933038662101,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-10,19.19740867614746,21.580475,14.424225,1.9694069623947144,174.20559692382812,1020.514892578125,1023.925537109375,0.0,0.661973237991333,175.25965881347656,26,10.73704405449788,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-12,17.465044021606445,18.077301,15.292725,2.3276450634002686,250.95187377929688,1018.02099609375,1021.4518432617188,0.018119812,0.893341064453125,902.0735473632812,7,10.622669463411825,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-12-13,14.798256874084473,15.975403,12.319153,5.867635726928711,299.1885070800781,1013.9284057617188,1017.3744506835938,0.0,0.20020470023155212,1559.984619140625,26,10.717934596724668,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-14,14.241998672485352,16.346466,10.812042,2.6859729290008545,312.1402893066406,1022.5186767578125,1025.9947509765625,0.0,0.24487756192684174,778.9118041992188,27,10.190854756301738,0.33666666666666667
Mirabell + / DER AN910 (eobs 3907),2018-12-15,14.80500602722168,16.312286,11.943817,1.3323132991790771,230.65097045898438,1023.9064331054688,1027.3775634765625,0.0,0.03353271633386612,313.2149963378906,20,9.746649840574397,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-17,12.260168075561523,14.598297,9.000214,2.395792245864868,76.66014862060547,1023.0393676757812,1026.514892578125,0.0,0.02004089392721653,267.21331787109375,20,9.616065384254009,0.3388888888888889
Mirabell + / DER AN910 (eobs 3907),2018-12-18,14.678107261657715,17.476715,4.111786,1.9648371934890747,214.4416961669922,1020.0492553710938,1023.5072021484375,0.0042915344,0.9593833088874817,449.48052978515625,28,10.638486376639827,0.3358333333333333
Mirabell + / DER AN910 (eobs 3907),2018-12-19,13.948386192321777,15.4322815,11.93985,2.4198436737060547,197.98553466796875,1022.4698486328125,1025.941650390625,0.0,0.9650020003318787,510.4366760253906,27,10.802337018452997,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-12-20,15.879425048828125,17.041168,14.717682,1.7132501602172852,30.296432495117188,1024.890625,1028.353759765625,0.0,0.5771636962890625,556.6607666015625,2,10.842249790287413,0.01138888888888889
